Z;Unit;Year;Hydrocarbon;Sector;Production source;Reason;Value
Argentina;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Argentina;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;17.586.233.333.333.300
Argentina;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;44.425
Argentina;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;199.835
Argentina;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;17.770.033.333.333.300
Argentina;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.2452483333333333
Argentina;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;14.382.366.666.666.600
Argentina;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;12.378.133.333.333.300
Argentina;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.209401
Argentina;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;4.951.266.666.666.660
Argentina;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;71.634
Argentina;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;4.443.966.666.666.660
Argentina;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;286.536
Argentina;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;2.6
Argentina;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;24.9
Australia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;18.871.733.333.333.300
Australia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Australia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;4.709.066.666.666.660
Australia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;14.637.233.333.333.300
Australia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;231.177
Australia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;5.500.666.666.666.660
Australia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Australia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;13.725.833.333.333.300
