Z;Unit;Year;Hydrocarbon;Sector;Production source;Reason;Value
Denmark;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;11.313.366.666.666.600
Denmark;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.3155203333333333
Denmark;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Denmark;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.7873199999999999
Denmark;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Denmark;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Denmark;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Denmark;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Denmark;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0302219
Denmark;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Denmark;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0203265999999999
Denmark;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.1192036666666666
Denmark;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;13.629.033.333.333.300
Denmark;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.8818033333333334
Denmark;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;54.516
Denmark;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Denmark;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Denmark;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Denmark;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Denmark;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Ecuador;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0257713
Ecuador;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Ecuador;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0643073333333333
Ecuador;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.46659
Ecuador;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.7369233333333334
Ecuador;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.4649366666666666
Ecuador;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Ecuador;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;11.601.566.666.666.600
Ecuador;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Ecuador;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Ecuador;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Ecuador;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;52.543
Ecuador;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;332.373
Ecuador;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;21.017.166.666.666.600
Ecuador;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0930313333333333
Ecuador;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.5455766666666667
Ecuador;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.49604
Ecuador;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Ecuador;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;198.416
Ecuador;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Ecuador;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Ecuador;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Ecuador;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Ecuador;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Egypt;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;11.181.366.666.666.600
Egypt;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Egypt;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;279.009
Egypt;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;45.265
Egypt;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;7.149.033.333.333.330
Egypt;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;5.842.266.666.666.660
Egypt;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Egypt;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;145.782
Egypt;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;15.906.833.333.333.300
Egypt;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Egypt;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;3.969.233.333.333.330
Egypt;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;42.126
Egypt;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;7.945.933.333.333.330
Egypt;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;168.504
Egypt;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.2671276666666667
Egypt;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;156.655
Egypt;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;2.180.906.666.666.660
Egypt;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;266.287
Egypt;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;8.723.633.333.333.330
Egypt;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Egypt;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Egypt;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Egypt;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Egypt;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;278.295
Equatorial Guinea;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;4.395.333.333.333.330
Equatorial Guinea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;12.384.933.333.333.300
Equatorial Guinea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;3.090.413.333.333.330
Equatorial Guinea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Equatorial Guinea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0024446333333333
Equatorial Guinea;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0143363666666666
Equatorial Guinea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;8.186.033.333.333.330
Equatorial Guinea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;5.964.266.666.666.660
Equatorial Guinea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;32.744.166.666.666.600
Equatorial Guinea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Equatorial Guinea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Equatorial Guinea;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Equatorial Guinea;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Eritrea;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.0
Eritrea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Eritrea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Eritrea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Eritrea;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0020366633333333
Eritrea;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0119438333333333
Eritrea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Eritrea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Eritrea;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Eritrea;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Eritrea;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Estonia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Estonia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Estonia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.131649
Estonia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.2079236666666666
Estonia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Estonia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Estonia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Estonia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Estonia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.64531
Estonia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;2.581.236.666.666.660
Estonia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0048793666666666
Estonia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0286146
Estonia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Estonia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Estonia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Estonia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Estonia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Estonia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Estonia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Ethiopia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.0
Ethiopia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Ethiopia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Ethiopia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Ethiopia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0384226666666666
Ethiopia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.2253263333333333
Ethiopia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Ethiopia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Ethiopia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Ethiopia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Ethiopia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
European Union;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;3.297.637.598
European Union;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
European Union;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;8.228.601.703.666.660
European Union;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;133.858.311
European Union;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;2.114.125.803.333.330
European Union;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;6.425.039.033.333.330
European Union;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
European Union;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;16.032.417.666.666.600
European Union;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;15.294.018.406.666.600
European Union;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
European Union;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;38.163.184.966.666.600
European Union;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;188.023.611
European Union;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;47.279.241
European Union;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;7.520.924.103.333.330
European Union;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;19.720.824.333.333.300
European Union;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;11.565.101.599.999.900
European Union;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;4.330.915.599.999.990
European Union;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;1.510.694.233.333.330
European Union;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;17.323.635
European Union;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
European Union;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
European Union;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
European Union;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.7
European Union;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;2.7
France;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
France;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
France;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
France;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;12.613.466.666.666.600
France;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;19.921.433.333.333.300
France;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
France;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
France;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
France;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0283051666666666
France;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
France;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.07063
France;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.65605
France;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0604833333333333
France;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;2.624.206.666.666.660
France;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.2555573333333333
France;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;14.986.933.333.333.300
France;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
France;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
France;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
France;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
France;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
France;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
France;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
France;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Gabon;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.3959033333333333
Gabon;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Gabon;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.9879
Gabon;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.4890666666666667
Gabon;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.77242
Gabon;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.4860233333333333
Gabon;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Gabon;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;12.127.766.666.666.600
Gabon;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Gabon;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Gabon;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Gabon;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;176.967
Gabon;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;237.948
Gabon;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;7.078.666.666.666.660
Gabon;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0066643333333333
Gabon;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0390823333333333
Gabon;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;18.099.266.666.666.600
Gabon;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;243.361
Gabon;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;7.239.699.999.999.990
Gabon;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Gabon;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Gabon;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Gabon;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Gabon;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Gambia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Gambia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Gambia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.0
Gambia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.0
Gambia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Gambia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Gambia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Gambia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Gambia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Gambia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Gambia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0
Gambia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0
Gambia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Gambia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Gambia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Gambia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Gambia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Gambia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Gambia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Germany;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;3.181.896.666.666.660
Germany;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Germany;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;79.398
Germany;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;2.710.083.333.333.330
Germany;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;4.280.233.333.333.330
Germany;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0170014666666666
Germany;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Germany;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.042424
Germany;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.5029666666666667
Germany;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Germany;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;12.550.533.333.333.300
Germany;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.8199799999999999
Germany;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0053633
Germany;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;32.799.166.666.666.600
Germany;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.3550833333333333
Germany;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;20.823.533.333.333.300
Germany;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.8501633333333333
Germany;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0055607333333333
Germany;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;34.006.333.333.333.300
Germany;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Germany;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Germany;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Germany;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Germany;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Ghana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Ghana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Ghana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Ghana;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.9226833333333332
Ghana;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;14.572.666.666.666.600
Ghana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;22.439
Ghana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Ghana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;55.992
